id,fase,modello,ordine,funzione,centratura,perc_monte,dur_min_60,dur_max_60,attivita_docente,attivita_studente,metodologie_tipiche,opzionale,momento
FAS-01,Apertura / Avvio,generico,1,"Crea attesa e senso: richiama i prerequisiti, aggancia all'esperienza, dichiara obiettivi e criteri di riuscita",docente-studenti,10,5,8,"Attiva, contestualizza, esplicita obiettivi e criteri","Recuperano, si orientano, si attivano",MET-07|MET-23|MET-21|MET-02,no,inizio
FAS-02,Sviluppo / Presentazione,generico,2,"Introduce il contenuto nuovo per esposizione o scoperta, rendendo visibile il pensiero esperto",docente,35,18,25,"Espone con chiarezza o guida la scoperta, modella il ragionamento","Ascoltano attivamente, prendono appunti, elaborano, scoprono",MET-01|MET-02|MET-03|MET-05|MET-13|MET-28,no,sviluppo
FAS-03,Esercitazione / Applicazione,generico,3,"Consolida tramite applicazione attiva, guidata o cooperativa, con scaffolding calibrato",studenti,30,15,20,"Assegna compiti graduati, fornisce scaffolding, monitora e da' feedback","Applicano, traducono, analizzano, producono",MET-04|MET-09|MET-10|MET-20|MET-24|MET-18,no,apprendimento
FAS-04,Verifica formativa,generico,4,"Misura in itinere la comprensione (non graduata) per regolare la didattica",docente-studenti,10,5,8,"Sonda con domande mirate, raccoglie evidenze, restituisce feedback","Mostrano che cosa hanno capito, individuano i nodi",MET-30|MET-22|MET-08,no,fine
FAS-05,Chiusura / Sintesi e metacognizione,generico,5,"Ricapitola, fissa i concetti chiave e fa riflettere sul come si e' imparato",docente-studenti,10,5,7,"Sintetizza, collega, guida la metacognizione","Ricapitolano, collegano, riflettono sul proprio apprendimento",MET-22|MET-07|MET-21,no,fine
FAS-06,Consegna / Compito,generico,6,"Assegna un lavoro domestico significativo e ne chiarisce senso e criteri",docente,5,2,5,"Assegna, esemplifica, esplicita tempi e criteri","Annotano la consegna e chiedono chiarimenti",-,si,fine
FAS-07,Studio domestico (a monte),flipped,0,"Prima fruizione autonoma del materiale a casa, per liberare il tempo d'aula",individuale,0,0,0,"Predispone video, letture e domande-guida","Studiano in autonomia e annotano i dubbi",MET-17|MET-31,si,inizio
FAS-08,Sistematizzazione,euristica,3,"Mette a sistema quanto emerso per scoperta, formalizzando regola o interpretazione",docente-studenti,15,8,12,"Formalizza la regola o la lettura emersa, ordina","Fissano, schematizzano, generalizzano",MET-03|MET-01|MET-22,si,sviluppo
FAS-09,Restituzione,cooperativo,4,"Condivisione e discussione dei prodotti dei gruppi, con valorizzazione e confronto",gruppi,15,8,12,"Coordina, valorizza, rilancia il confronto","Presentano il lavoro, si confrontano, integrano",MET-04|MET-05|MET-06,si,apprendimento
FAS-10,Momento preparatorio (EAS),eas,1,"Stimolo e consegna situata: attiva la sfida con logica di problem solving",docente-studenti,20,10,15,"Da' lo stimolo e la consegna, definisce il compito","Si attivano sul problema, pianificano",MET-12|MET-10,si,inizio
