id,nome,gruppo,centratura,strutturazione,raggruppamento,logica,focus,esito,tempi,tecnologia,carico_docente,fase_tipica,aggancio_classico
MET-01,Lezione frontale,trasmissive,D,A,Cla,Tra,Cog,Con,micro,no,B,sviluppo,"Quadro storico, inquadramento d'autore, esposizione di una regola"
MET-02,Lezione dialogata,trasmissive,DS,M,Cla,Tra/Ind,Cog,Con/Ab,micro,no,B,sviluppo,"Commento partecipato di un testo, recupero di nozioni"
MET-03,Lezione euristica (maieutica),trasmissive,DS,M,Cla,Ind,Cog/Met,Ab,micro,no,M,sviluppo,"Dedurre una norma sintattica dagli esempi; interpretare per domande"
MET-04,Cooperative Learning,collaborative,S,M,PG,Col,Soc/Cog,Comp,micro/medio,no,M,esercitazione|sviluppo,"Traduzione cooperativa a ruoli; mappa di letteratura condivisa"
MET-05,Jigsaw,collaborative,S,A,PG,Col,Cog/Soc,Con/Comp,micro/medio,supporto,M,sviluppo|esercitazione,"Un'epoca o un autore divisi per nuclei (biografia/opere/poetica/fortuna)"
MET-06,Peer Education,collaborative,S,M,Mix,Col,Soc,Comp,medio,no,M,esercitazione,"Triennio guida laboratori di metodo per il biennio; tutoraggio"
MET-07,Circle Time,collaborative,S,M,Cla,Rifl,Soc/Met,Comp,micro,no,B,apertura|chiusura,"Apertura/chiusura su temi etici dei testi; metacognizione sul metodo"
MET-08,Debate,collaborative,S,A,PG,Col/Rifl,Cog/Soc,Comp,medio,no,A,esercitazione|verifica,"Tesi storica/letteraria; allena l'argomentazione (Tip. B/C)"
MET-09,Didattica laboratoriale,attive,S,M,PG/Mix,Esp,Ope/Cog,Ab/Comp,micro/medio,supporto,M,esercitazione,"Laboratorio di traduzione ragionata, di analisi, di scrittura"
MET-10,Problem Solving,attive,S,M,PG,PBL,Cog/Met,Comp,micro/medio,no,M,sviluppo|esercitazione,"Una crux testuale; due traduzioni a confronto da valutare"
MET-11,Project Based Learning,attive,S,B,PG,PBL,Cog/Ope,Prod/Comp,lungo,supporto,A,multi-lezione,"Edizione commentata d'autore; mostra o podcast su un'epoca"
MET-12,EAS (Episodi di Apprendimento Situato),attive,DS,M,Mix,Esp/Rifl,Cog/Ope,Prod,micro/medio,supporto,A,intera,"Micro-percorso su un brano con artefatto digitale finale"
MET-13,IBSE (apprendimento per indagine),attive,S,M,PG,Ind/PBL,Cog,Comp,medio,supporto,M,sviluppo,"Metodo d'indagine su fonti; il testo come evidenza"
