id,materia,anno,fase,indirizzi,classi,blocco,nucleo,testo,obiettivi_backbone,tipo_contenuto,parent,peso,tag,bloom,competenza_europea,fonte,stato
GRC-0001,GRC,1,biennio,LC,A-13,conoscenza,Morfologia,"Alfabeto greco: vocali, dittonghi, consonanti",GRC.CON.MORF.01,,,core,fonetica|alfabeto,,,Greco cl.1 gramm,revisione
GRC-0002,GRC,1,biennio,LC,A-13,conoscenza,Morfologia,"Spiriti (aspro e dolce) e segni diacritici",GRC.CON.MORF.01,,,core,fonetica,,,Greco cl.1 gramm,revisione
GRC-0003,GRC,1,biennio,LC,A-13,conoscenza,Morfologia,"Accenti e leggi dell'accentazione",GRC.CON.MORF.01,,,core,accenti,,,Greco cl.1 gramm,revisione
GRC-0004,GRC,1,biennio,LC,A-13,conoscenza,Morfologia,"Enclitiche e proclitiche",GRC.CON.MORF.01,,,core,accenti|enclitiche,,,Greco cl.1 gramm,revisione
GRC-0005,GRC,1,biennio,LC,A-13,conoscenza,Morfologia,"Fenomeni fonetici: contrazione, crasi, elisione",GRC.CON.MORF.01,,,core,fonetica|contrazione,,,Greco cl.1 gramm,revisione
GRC-0006,GRC,1,biennio,LC,A-13,conoscenza,Morfologia,"Apofonia e gradi vocalici",GRC.CON.MORF.01,,,core,fonetica|apofonia,,,Greco cl.1 gramm,revisione
GRC-0007,GRC,1,biennio,LC,A-13,conoscenza,Morfologia,"L'articolo determinativo e i suoi usi",GRC.CON.MORF.02,,,core,articolo,,,Greco cl.1 gramm,revisione
GRC-0008,GRC,1,biennio,LC,A-13,conoscenza,Morfologia,"Prima declinazione (femminili e maschili)",GRC.CON.MORF.02,,,core,declinazioni,,,Greco cl.1 gramm,revisione
GRC-0009,GRC,1,biennio,LC,A-13,conoscenza,Morfologia,"Seconda declinazione; declinazione contratta e attica",GRC.CON.MORF.02,,,core,declinazioni,,,Greco cl.1 gramm,revisione
GRC-0010,GRC,1,biennio,LC,A-13,conoscenza,Morfologia,"Aggettivi della prima classe (a tre uscite)",GRC.CON.MORF.03,,,core,aggettivi,,,Greco cl.1 gramm,revisione
GRC-0011,GRC,1,biennio,LC,A-13,conoscenza,Morfologia,"Pronomi personali e riflessivi",GRC.CON.MORF.03,,,core,pronomi,,,Greco cl.1 gramm,revisione
GRC-0012,GRC,1,biennio,LC,A-13,conoscenza,Morfologia,"Pronomi e aggettivi possessivi",GRC.CON.MORF.03,,,core,pronomi,,,Greco cl.1 gramm,revisione
GRC-0013,GRC,1,biennio,LC,A-13,conoscenza,Morfologia,"Pronomi e aggettivi dimostrativi",GRC.CON.MORF.03,,,core,pronomi,,,Greco cl.1 gramm,revisione
GRC-0014,GRC,1,biennio,LC,A-13,conoscenza,Morfologia,"Il pronome relativo",GRC.CON.MORF.03,,,core,pronomi|relativo,,,Greco cl.1 gramm,revisione
GRC-0015,GRC,1,biennio,LC,A-13,conoscenza,Morfologia,"Il verbo: caratteri generali (diatesi, tempo, modo, aspetto); coniugazione tematica e atematica",GRC.CON.MORF.04,,,core,verbo,,,Greco cl.1 gramm,revisione
GRC-0016,GRC,1,biennio,LC,A-13,conoscenza,Morfologia,"Aumento e raddoppiamento",GRC.CON.MORF.04,,,core,verbo,,,Greco cl.1 gramm,revisione
GRC-0017,GRC,1,biennio,LC,A-13,conoscenza,Morfologia,"Il verbo essere (eimi) e i suoi composti",GRC.CON.MORF.04,,,core,verbo,,,Greco cl.1 gramm,revisione
GRC-0018,GRC,1,biennio,LC,A-13,conoscenza,Morfologia,"Il presente indicativo (attivo e medio-passivo)",GRC.CON.MORF.04,,,core,verbo|presente,,,Greco cl.1 gramm,revisione
GRC-0019,GRC,1,biennio,LC,A-13,conoscenza,Morfologia,"Il presente: congiuntivo, ottativo, imperativo",GRC.CON.MORF.04,,,core,verbo|presente|modi,,,Greco cl.1 gramm,revisione
GRC-0020,GRC,1,biennio,LC,A-13,conoscenza,Morfologia,"Il presente: infinito e participio",GRC.CON.MORF.04,,,core,verbo|presente,,,Greco cl.1 gramm,revisione
GRC-0021,GRC,1,biennio,LC,A-13,conoscenza,Morfologia,"L'imperfetto",GRC.CON.MORF.04,,,core,verbo|imperfetto,,,Greco cl.1 gramm,revisione
GRC-0022,GRC,1,biennio,LC,A-13,conoscenza,Sintassi,"La frase semplice: soggetto, predicato verbale e nominale, copula",GRC.CON.SINT.05,,,core,analisi-logica,,,Greco cl.1 gramm,revisione
GRC-0023,GRC,1,biennio,LC,A-13,conoscenza,Sintassi,"Attributo e apposizione; funzione attributiva e predicativa",GRC.CON.SINT.05,,,core,analisi-logica,,,Greco cl.1 gramm,revisione
GRC-0024,GRC,1,biennio,LC,A-13,conoscenza,Sintassi,"I principali complementi (luogo, tempo, mezzo, modo, causa, fine, compagnia)",GRC.CON.SINT.05,,,core,analisi-logica,,,Greco cl.1 gramm,revisione
GRC-0025,GRC,1,biennio,LC,A-13,conoscenza,Sintassi,"Infinito e proposizioni infinitive",GRC.CON.SINT.02,,,core,infinito,,,Greco cl.1 gramm,revisione
GRC-0026,GRC,1,biennio,LC,A-13,conoscenza,Sintassi,"Il participio congiunto",GRC.CON.SINT.01,,,core,participio,,,Greco cl.1 gramm,revisione
GRC-0027,GRC,1,biennio,LC,A-13,conoscenza,Sintassi,"Proposizioni causali e temporali con l'indicativo",GRC.CON.SINT.03,,,core,subordinate,,,Greco cl.1 gramm,revisione
GRC-0028,GRC,1,biennio,LC,A-13,conoscenza,Sintassi,"Proposizioni finali e consecutive",GRC.CON.SINT.03,,,core,subordinate,,,Greco cl.1 gramm,revisione
GRC-0029,GRC,1,biennio,LC,A-13,conoscenza,Lessico,"Lessico di base per famiglie semantiche e ambiti",GRC.CON.LESS.01,,,core,lessico,,,Greco cl.1 gramm,revisione
GRC-0030,GRC,1,biennio,LC,A-13,conoscenza,Lessico,"Formazione delle parole: derivazione e composizione; la radice",GRC.CON.LESS.01,,,core,lessico|formazione,,,Greco cl.1 gramm,revisione
GRC-0031,GRC,1,biennio,LC,A-13,conoscenza,Civilta' e ricezione,"Aspetti significativi della cultura e civilta' greca",GRC.CON.CULT.01,,,core,civilta,,,Greco cl.1 gramm,revisione
GRC-0032,GRC,2,biennio,LC,A-13,conoscenza,Morfologia,"Terza declinazione: temi in consonante muta e liquida",GRC.CON.MORF.02,,,core,declinazioni,,,Greco cl.2 gramm,revisione
GRC-0033,GRC,2,biennio,LC,A-13,conoscenza,Morfologia,"Terza declinazione: temi in nasale e in sibilante",GRC.CON.MORF.02,,,core,declinazioni,,,Greco cl.2 gramm,revisione
GRC-0034,GRC,2,biennio,LC,A-13,conoscenza,Morfologia,"Terza declinazione: temi in vocale e dittongo; sostantivi irregolari",GRC.CON.MORF.02,,,core,declinazioni,,,Greco cl.2 gramm,revisione
GRC-0035,GRC,2,biennio,LC,A-13,conoscenza,Morfologia,"Aggettivi della seconda classe (a due e tre uscite); contratti",GRC.CON.MORF.03,,,core,aggettivi,,,Greco cl.2 gramm,revisione
GRC-0036,GRC,2,biennio,LC,A-13,conoscenza,Morfologia,"Comparativi e superlativi (regolari e irregolari)",GRC.CON.MORF.03,,,core,comparativi,,,Greco cl.2 gramm,revisione
GRC-0037,GRC,2,biennio,LC,A-13,conoscenza,Morfologia,"Pronomi e aggettivi interrogativi e indefiniti",GRC.CON.MORF.03,,,core,pronomi,,,Greco cl.2 gramm,revisione
GRC-0038,GRC,2,biennio,LC,A-13,conoscenza,Morfologia,"Pronome reciproco; pronomi-aggettivi correlativi",GRC.CON.MORF.03,,,core,pronomi,,,Greco cl.2 gramm,revisione
GRC-0039,GRC,2,biennio,LC,A-13,conoscenza,Morfologia,"Aggettivi e avverbi numerali (cardinali, ordinali)",GRC.CON.MORF.03,,,core,numerali,,,Greco cl.2 gramm,revisione
GRC-0040,GRC,2,biennio,LC,A-13,conoscenza,Morfologia,"Formazione e gradi degli avverbi",GRC.CON.MORF.03,,,core,avverbi,,,Greco cl.2 gramm,revisione
GRC-0041,GRC,2,biennio,LC,A-13,conoscenza,Sintassi,"Le preposizioni e i casi che reggono",GRC.CON.SINT.03,,,core,preposizioni,,,Greco cl.2 gramm,revisione
GRC-0042,GRC,2,biennio,LC,A-13,conoscenza,Sintassi,"Le particelle (men...de, an, gar, ge) e i loro valori",GRC.CON.SINT.04,,,core,particelle,,,Greco cl.2 gramm,revisione
GRC-0043,GRC,2,biennio,LC,A-13,conoscenza,Morfologia,"Verbi contratti (in -aw, -ew, -ow)",GRC.CON.MORF.04,,,core,verbo|contratti,,,Greco cl.2 gramm,revisione
GRC-0044,GRC,2,biennio,LC,A-13,conoscenza,Morfologia,"Verbi in -mi (atematici): didomi, tithemi, hiemi, histemi",GRC.CON.MORF.06,,,core,verbo|atematici,,,Greco cl.2 gramm,revisione
GRC-0045,GRC,2,biennio,LC,A-13,conoscenza,Morfologia,"Il sistema del futuro (attivo e medio; futuro contratto e dorico)",GRC.CON.MORF.05,,,core,verbo|futuro,,,Greco cl.2 gramm,revisione
GRC-0046,GRC,2,biennio,LC,A-13,conoscenza,Morfologia,"L'aoristo primo (debole, sigmatico)",GRC.CON.MORF.05,,,core,verbo|aoristo,,,Greco cl.2 gramm,revisione
GRC-0047,GRC,2,biennio,LC,A-13,conoscenza,Morfologia,"L'aoristo secondo (forte, tematico)",GRC.CON.MORF.05,,,core,verbo|aoristo,,,Greco cl.2 gramm,revisione
GRC-0048,GRC,2,biennio,LC,A-13,conoscenza,Morfologia,"L'aoristo terzo (atematico/cappatico)",GRC.CON.MORF.05,,,core,verbo|aoristo,,,Greco cl.2 gramm,revisione
GRC-0049,GRC,2,biennio,LC,A-13,conoscenza,Morfologia,"L'aoristo e il futuro passivo",GRC.CON.MORF.05,,,core,verbo|aoristo|passivo,,,Greco cl.2 gramm,revisione
GRC-0050,GRC,2,biennio,LC,A-13,conoscenza,Morfologia,"Il sistema del perfetto e del piuccheperfetto (I e II); il medio-passivo",GRC.CON.MORF.07,,,core,verbo|perfetto|delta-fase,,,Greco cl.2 gramm,revisione
GRC-0051,GRC,2,biennio,LC,A-13,conoscenza,Morfologia,"L'aggettivo verbale (-teos, -tos) e i suoi usi",GRC.CON.MORF.07,,,core,aggettivo-verbale,,,Greco cl.2 gramm,revisione
GRC-0052,GRC,2,biennio,LC,A-13,conoscenza,Morfologia,"Verbi politematici e principali irregolari",GRC.CON.MORF.06,,,core,verbo|irregolari,,,Greco cl.2 gramm,revisione
