id,materia,anno,fase,indirizzi,classi,blocco,nucleo,testo,obiettivi_backbone,tipo_contenuto,parent,peso,tag,bloom,competenza_europea,fonte,stato
ITA-0001,ITA,1,biennio,LC|LS|LSA,A-11|A-13,conoscenza,Educazione linguistica,"Fonologia e ortografia",ITA.CON.LING.01,,,core,grammatica|fonologia,,,ITA cl.1 gramm,revisione
ITA-0002,ITA,1,biennio,LC|LS|LSA,A-11|A-13,conoscenza,Educazione linguistica,"Morfologia: le parti del discorso",ITA.CON.LING.02,,,core,grammatica|morfologia,,,ITA cl.1 gramm,revisione
ITA-0003,ITA,1,biennio,LC|LS|LSA,A-11|A-13,conoscenza,Educazione linguistica,"Sintassi della frase semplice; analisi logica",ITA.CON.LING.03,,,core,grammatica|analisi-logica,,,ITA cl.1 gramm,revisione
ITA-0004,ITA,1,biennio,LC|LS|LSA,A-11|A-13,conoscenza,Educazione linguistica,"Lessico e formazione delle parole",ITA.CON.LING.05,,,core,lessico,,,ITA cl.1 gramm,revisione
ITA-0005,ITA,1,biennio,LC|LS|LSA,A-11|A-13,conoscenza,Educazione linguistica,"Registri, varieta' e funzioni della lingua",ITA.CON.LING.06,,,core,registri,,,ITA cl.1 gramm,revisione
ITA-0006,ITA,1,biennio,LC|LS|LSA,A-11|A-13,conoscenza,Strumenti dell'analisi letteraria,"Narrativa: fabula, intreccio, sequenze",ITA.CON.ANAL.01,,,core,narratologia,,,ITA cl.1 scheda,revisione
ITA-0007,ITA,1,biennio,LC|LS|LSA,A-11|A-13,conoscenza,Strumenti dell'analisi letteraria,"Il sistema dei personaggi",ITA.CON.ANAL.02,,,core,narratologia,,,ITA cl.1 scheda,revisione
ITA-0008,ITA,1,biennio,LC|LS|LSA,A-11|A-13,conoscenza,Strumenti dell'analisi letteraria,"Tempo e spazio nel testo narrativo",ITA.CON.ANAL.03,,,core,narratologia,,,ITA cl.1 scheda,revisione
ITA-0009,ITA,1,biennio,LC|LS|LSA,A-11|A-13,conoscenza,Strumenti dell'analisi letteraria,"Narratore, voce e focalizzazione",ITA.CON.ANAL.04,,,core,narratologia,,,ITA cl.1 scheda,revisione
ITA-0010,ITA,1,biennio,LC|LS|LSA,A-11|A-13,conoscenza,Strumenti dell'analisi letteraria,"Epica classica e mito: Iliade, Odissea, Eneide",ITA.CON.ANAL.08,,,core,epica|mito,,,ITA cl.1 scheda,revisione
ITA-0011,ITA,1,biennio,LC|LS|LSA,A-11|A-13,conoscenza,Testo e tipologie testuali,"Le tipologie testuali (narrativo, descrittivo, espositivo, argomentativo, regolativo)",ITA.CON.TEST.01,,,core,tipologie-testuali,,,ITA cl.1 scheda,revisione
ITA-0012,ITA,1,biennio,LC|LS|LSA,A-11|A-13,conoscenza,Testo e tipologie testuali,"Coerenza e coesione testuale",ITA.CON.TEST.02,,,core,testo,,,ITA cl.1 scheda,revisione
ITA-0013,ITA,1,biennio,LC|LS|LSA,A-11|A-13,conoscenza,Testo e tipologie testuali,"Strategie di comprensione e di studio (lettura, mappe, sintesi)",ITA.CON.TEST.03,,,core,comprensione,,,ITA cl.1 scheda,revisione
ITA-0014,ITA,1,biennio,LC|LS|LSA,A-11|A-13,conoscenza,Storia ed educazione letteraria,"Lettura integrale di un'opera: I Promessi Sposi di Manzoni",ITA.CON.LETT.01,,,core,Manzoni|Promessi-Sposi,,,ITA cl.1 scheda,revisione
ITA-0015,ITA,1,biennio,LC|LS|LSA,A-11|A-13,competenza,Comunicazione orale,"Gestire l'interazione comunicativa in vari contesti",ITA.COM.ORAL.01,,,,oralita,applicare,alfabetica_funzionale,ITA cl.1 scheda,revisione
ITA-0016,ITA,1,biennio,LC|LS|LSA,A-11|A-13,competenza,Testo e tipologie testuali,"Comprendere e interpretare testi scritti di vario tipo",ITA.COM.TEST.01,,,,comprensione,comprendere,alfabetica_funzionale,ITA cl.1 scheda,revisione
ITA-0017,ITA,1,biennio,LC|LS|LSA,A-11|A-13,competenza,Strumenti dell'analisi letteraria,"Analizzare un testo narrativo",ITA.COM.ANAL.01,,,,analisi-narrativa,analizzare,consapevolezza_espressione_culturali,ITA cl.1 scheda,revisione
ITA-0018,ITA,1,biennio,LC|LS|LSA,A-11|A-13,competenza,Produzione scritta,"Produrre testi descrittivi, narrativi, espositivi e riassunti",ITA.COM.SCRI.01,,,,scrittura,applicare,alfabetica_funzionale,ITA cl.1 scheda,revisione
