id,asse,sotto_tipo,titolo,descrizione,relazione,materie,riferimenti,ambito_culturale,discipline_apporto,tag,stato
PAR-0001,triade-letteraria,genere,"L'epica e il poema eroico","Omero ed Esiodo fondano l'epos; Ennio, Virgilio e Lucano lo rifondano a Roma; Ariosto e Tasso nel poema cavalleresco",ripresa-riuso,GRC|LAT|ITA,GRC-0089|GRC-0090|LAT-0072|LAT-0083|LAT-0090|ITA-0044|ITA-0058,,,epica|poema,revisione
PAR-0002,triade-letteraria,genere,"La lirica d'amore","La fenomenologia dell'eros da Saffo e Alceo a Catullo e Orazio, fino a Petrarca",ripresa-riuso,GRC|LAT|ITA,GRC-0095|GRC-0096|LAT-0077|LAT-0084|ITA-0040,,,lirica|eros,revisione
PAR-0003,triade-letteraria,genere,"La tragedia e il tragico","Eschilo, Sofocle ed Euripide; la ripresa di Seneca; Alfieri e il teatro moderno",ripresa-riuso,GRC|LAT|ITA,GRC-0110|GRC-0111|GRC-0112|LAT-0089|ITA-0063,,,tragedia,revisione
PAR-0004,triade-letteraria,genere,"La commedia","Dalla archaia di Aristofane alla nea di Menandro, a Plauto e Terenzio, a Goldoni",ripresa-riuso,GRC|LAT|ITA,GRC-0113|GRC-0126|LAT-0073|LAT-0074|ITA-0061,,,commedia,revisione
PAR-0005,triade-letteraria,genere,"La storiografia","Erodoto, Tucidide e Polibio; Sallustio, Livio e Tacito; Machiavelli e Guicciardini",ripresa-riuso,GRC|LAT|ITA,GRC-0098|GRC-0114|GRC-0131|LAT-0080|LAT-0088|LAT-0097|ITA-0042,,,storiografia,revisione
PAR-0006,triade-letteraria,genere,"L'oratoria e la retorica","Lisia, Isocrate e Demostene; Cicerone e Quintiliano; la tradizione retorica europea",ripresa-riuso,GRC|LAT|ITA,GRC-0115|GRC-0116|GRC-0117|LAT-0081|LAT-0094,,,oratoria|retorica,revisione
PAR-0007,triade-letteraria,genere,"La satira","Il riso critico di Aristofane e Luciano; Lucilio, Persio e Giovenale",ripresa-riuso,GRC|LAT|ITA,GRC-0113|GRC-0134|LAT-0076|LAT-0093|LAT-0096,,,satira,revisione
PAR-0008,triade-letteraria,genere,"L'elegia","Da Mimnermo e Callimaco a Tibullo, Properzio e Ovidio",ripresa-riuso,GRC|LAT|ITA,GRC-0093|GRC-0127|LAT-0085|LAT-0086|LAT-0087,,,elegia,revisione
PAR-0009,triade-letteraria,genere,"La poesia bucolica e l'idillio","Teocrito, le Bucoliche di Virgilio, l'Arcadia di Sannazaro",ripresa-riuso,GRC|LAT|ITA,GRC-0128|LAT-0083|ITA-0257,,,bucolica|idillio,revisione
PAR-0010,triade-letteraria,genere,"Il romanzo antico","Il romanzo greco e Luciano; il Satyricon di Petronio e le Metamorfosi di Apuleio",ripresa-riuso,GRC|LAT|ITA,GRC-0133|GRC-0134|LAT-0091|LAT-0100,,,romanzo,revisione
